Prophet Code;Flag Code
ULAALM;AALM
ULAAOP;AAOP
ULARPL;ARPL
ULARPN;ARPL2
ULARP2;ARPL_
ULASMN;ASAMN
ULABA_;ASBA
ULASFA;ASFA
ULAI__;ASI
ULASS_;ASLSS
ULAMAP;ASMAP
ULAMF2;ASMFP
ULAMF2A;ASMFP
ULAMFP;ASMFP
ULAP__;ASP
ULASLF;ASPLF
ULAPO1;ASPOA
ULAPO2;ASPOA
ULAPO3;ASPOA
ULAPO3A;ASPOA
ULAPO4;ASPOA
ULAPO4A;ASPOA
ULARK_;ASRKP
ULSSP1;ASSP1
ULSSP2;ASSP2
UEATSB;ATSBH
UEATSBA;ATSBH
ULAWPR;AWPF
ULAWPL;AWPL
ULWPL2;AWPL2
ULWPR2;AWPR
ULWSL_;AWSL
ULBPMC;BJPMC
ULBPOC;BJPOC
ULCPRA;CPRA
ULDMSA;DMSA
ULDRKS;DRKFS
ULDRP_;DRKPS
ULDRK_;DRKU
ULDRKA;DRKUA
ULFIVS;FIVS
ULFLFS;FLFS
ULGI1_;GI1B
ULGSU_;GSL
ULGUMA;GUMA
ULGUOP;GUOP
ULGUPM;GUPM
ULGUP_;GUPR
ULGUSI;GUSI
ULGUTI;GUTI
ULGW__;GWL
ULCIPA;HCIPA
ULHPIP;HPIP
ULPIPX;HPPA
ULHPWA;HPWA
ULCIP_;HSCIP
ULHSWA;HSWA
ULHTKG;HTK_G
ULHTKP;HTK_P
ULHTKS;HTK_S
ULHUWA;HUWA
ULARLK;MARLK
ULMPN2;MPIN2
ULMPIN;MPINF
ULMPB_;MSMPB
ULMPB2;MSPB2
ULMPP2;MYMP2
ULMPP_;MYMPP
ULMPS_;MYMPS
ULMPI_;MYPI
ULMPI2;MYPI2
ULMSU_;MYSU
ULMSU2;MYSU2
ULNHM1;NHM1
ULNHM2;NHM2
ULNHM3;NHM3
ULOC__;OPCI
ULASPO;RAPOA
ULAPR_;RASP
ULSNFR;RLNFA
ULSNFRA;RLNFA
ULPPNR;RLPPN
ULSSPR;RLSSP
ULASPP;RNASPP
ULASPPA;RNASPP
ULRPOA;RNSPOA
ULRPOAA;RNSPOA
ULSBAR;RSLBA
ULSPPR;RSLPP
ULPSR_;RSLPS
ULSSR_;RSLSS
ULFT__;SCFT
UVSG2_;SG
ULCPK_;SHCP
ULCP__;SHCP
ULFCK_;SHFC
ULFC__;SHFC
ULRCK_;SHRE
ULRC__;SHRE
ULSNWK;SHSNW
ULSNW_;SHSNW
ULSBA_;SLBA
ULSDIP;SLDIP
ULSEXP;SLEXP
ULSFA_;SLFA
ULFS__;SLFS
ULMA__;SLMA
ULMAP_;SLMAP
ULME__;SLME
ULSMFP;SLMFP
ULSMFPA;SLMFP
ULML__;SLML
ULSMP1;SLMP1
ULSMP2;SLMP2
ULSNF2;SLNF2
ULSNFA;SLNFA
UVSG1_;SLP
ULRPLF;SLPLF
ULSPN1;SLPN1
ULSPN2;SLPN2
ULSPO1;SLPOA
ULSPO2;SLPOA
ULSPO3;SLPOA
ULSPO4;SLPOA
ULSPO4A;SLPOA
ULSPO5;SLPOA
ULSPO6;SLPOA
ULSPO6A;SLPOA
ULSPO7;SLPOA
ULSPO7A;SLPOA
ULSPP_;SLPP
ULPPN_;SLPPN
ULPS__;SLPS
ULSSA_;SLSA
ULSSA2;SLSA2
ULSSA2A;SLSA2
ULSS__;SLSS
ULSSP_;SLSSP
ULSUS_;SLUS
ULSVM1;SLVM1
ULSVM2;SLVM2
ULSVM3;SLVM3
ULSVP_;SLVP
ULSMP4;SMP1B
ULSMP5;SMP2B
ULSMP6;SMP3B
ULSMPV;SMPV
ULGALLOC;ULGALLOC
ULSPOOL;ULSPOOL
ULUML_;UML
