product_group,goc,pol_num,pre_ann,sum_assd,loan_sa
A_IDR,A_AZID_AG__IDR__2025_Q1,14,466751000,7540000000,0
A_IDR,A_EAGLE_AG__IDR__2025_Q1,155,5007373000,96010500000,0
A_IDR,A_SPRING_AG__IDR__2025_Q1,85,1844486000,43975832300,0
CEALSP_IDR,CEALSP_HANA_NK_L_IDR_NO_2021_IF,14,166021800,3182000000,595000
CEALSP_IDR,CEALSP_HANA_NK_L_IDR_NO_2022_IF,27,384951100,5461000000,0
CEALSP_IDR,CEALSP_HANA_NK_L_IDR_NO_2024_IF,10,302849000,3018000000,0
CEALSP_IDR,CEALSP_HANA_NK_L_IDR_NO_2025_Q1,1,27400000,200000000,0
CEALSP_IDR,CEALSP_NISP_NK_L_IDR_NO_2022_IF,30,585533900,8756000000,0
CEALSP_IDR,CEALSP_NISP_NK_L_IDR_NO_2023_IF,46,1203343130,16428000000,0
CEALSP_IDR,CEALSP_NISP_NK_L_IDR_NO_2024_IF,22,1678626700,21974000000,0
CEALSP_IDR,CEALSP_NISP_NK_L_IDR_NO_2025_Q1,2,20280000,300000000,0
CEALSP_IDR,CEALSP_VICTORIA_NK_L_IDR_NO_2022_IF,20,831526000,7656000000,0
CEALSP_IDR,CEALSP_VICTORIA_NK_L_IDR_NO_2023_IF,7,153450000,2136000000,0
CEBEA__IDR,CEBEA__AZID_AG_L_IDR_NI_2014_IF,3353,1586885620,16747600000,9637973.93
CEBEA__USD,CEBEA__AZID_AG_L_USD_NI_2014_IF,32,18259.69,100100,0
CEBSA__IDR,CEBSA__AZID_AG_L_IDR_NI_2014_IF,9916,4277120293,40759850000,18573534.62
CEBSA__USD,CEBSA__AZID_AG_L_USD_NI_2014_IF,56,29628.5,182600,197.92
CECC___IDR,CECC___HSBC_KT_L_IDR_PI_2014_IF,18,2019268839,11536318300,306129841
CECC___IDR,CECC___HSBC_KT_L_IDR_PI_2015_IF,3,179517000,1200000000,55275000
CECC___IDR,CECC___HSBC_KT_L_IDR_PI_2016_IF,1,40482300,230000000,0
CECC___IDR,CECC___HSBC_KT_L_IDR_PI_2017_IF,67,9867692520,30353000000,716856493
CECC___IDR,CECC___HSBC_KT_L_IDR_PI_2018_IF,81,11754461430,40143000000,453050151
CECC___IDR,CECC___HSBC_KT_L_IDR_PI_2019_IF,40,4768933330,17977000000,513133313
CECC___IDR,CECC___HSBC_KT_L_IDR_PI_2020_IF,12,805578510,3753000000,0
CECC___IDR,CECC___HSBC_KT_L_IDR_PI_2021_IF,20,1919936400,7660000000,0
CECC___IDR,CECC___HSBC_KT_L_IDR_PI_2022_IF,79,8730109130,26796000000,13779720
CECC___IDR,CECC___HSBC_KT_L_IDR_PI_2023_IF,158,20681242628,63082226926,80700900
CECC___IDR,CECC___HSBC_KT_L_IDR_PI_2024_IF,77,8393277259,23405100000,0
CECC___IDR,CECC___HSBC_KT_L_IDR_PI_2025_Q1,1,129636000,300000000,0
CEECP__IDR,CEECP__AZID_AG_L_IDR_PI_2014_IF,3682,7151513119,59142200000,26548330
CEECP__USD,CEECP__AZID_AG_L_USD_PI_2014_IF,84,201031.5,868000,-18.29
CEEDU__IDR,CEEDU__AZID_AG_L_IDR_PI_2014_IF,3,5811000,65000000,4
CEEEP__IDR,CEEEP__AZID_AG_L_IDR_PI_2014_IF,5,6508400,300000000,0
CEEFP__IDR,CEEFP__AZID_AG_L_IDR_PI_2014_IF,5435,17447350369,1.21876E+11,155525845.8
CEEFP__USD,CEEFP__AZID_AG_L_USD_PI_2014_IF,221,580760.56,2805120,52.08
CEEFP__IDR,CEEFP__EAGLE_AG_L_IDR_PI_2014_IF,1,3651600,85000000,0
CEESP__IDR,CEESP__AZID_AG_L_IDR_PI_2014_IF,10865,16842154769,1.41295E+11,27246655.5200000001
CEESP__USD,CEESP__AZID_AG_L_USD_PI_2014_IF,117,138926.24,789800,-0.69
CEEUP__IDR,CEEUP__AZID_AG_L_IDR_PI_2014_IF,2736,8466689687,46944200000,15625756
CEEUP__USD,CEEUP__AZID_AG_L_USD_PI_2014_IF,96,209310.34,782800,0.13
CEFC50_IDR,CEFC50_HSBC_KT_L_IDR_PI_2014_IF,1,109588000,1000000000,0
CEFC50_IDR,CEFC50_HSBC_KT_L_IDR_PI_2015_IF,2,211775000,800000000,0
CEFC50_IDR,CEFC50_HSBC_KT_L_IDR_PI_2016_IF,2,127143000,700000000,0
CEFC50_IDR,CEFC50_HSBC_KT_L_IDR_PI_2017_IF,83,10033284800,56901000000,483156720
CEFC50_IDR,CEFC50_HSBC_KT_L_IDR_PI_2018_IF,9,723876200,3870000000,145230000
CEFC50_IDR,CEFC50_HSBC_KT_L_IDR_PI_2019_IF,9,580911650,4060000000,0
CEFC50_IDR,CEFC50_HSBC_KT_L_IDR_PI_2020_IF,3,216551500,1650000000,21138000
CEFC50_IDR,CEFC50_HSBC_KT_L_IDR_PI_2022_IF,17,1623769750,11075000000,0
CEFC50_IDR,CEFC50_HSBC_KT_L_IDR_PI_2023_IF,31,6122244090,34947000000,0
CEFC50_IDR,CEFC50_HSBC_KT_L_IDR_PI_2024_IF,2,991988000,5200000000,0
CEFC55_IDR,CEFC55_HSBC_KT_L_IDR_PI_2017_IF,32,3967166800,18460000000,0
CEFC55_IDR,CEFC55_HSBC_KT_L_IDR_PI_2018_IF,5,628141000,2600000000,0
CEFC55_IDR,CEFC55_HSBC_KT_L_IDR_PI_2019_IF,4,227897640,1148000000,25498220
CEFC55_IDR,CEFC55_HSBC_KT_L_IDR_PI_2020_IF,1,24012000,100000000,0
CEFC55_IDR,CEFC55_HSBC_KT_L_IDR_PI_2022_IF,9,1036645875,6463500000,0
CEFC55_IDR,CEFC55_HSBC_KT_L_IDR_PI_2023_IF,10,1083449300,5070000000,0
CEFC55_IDR,CEFC55_HSBC_KT_L_IDR_PI_2024_IF,8,1700389920,6372000000,0
CEFC60_IDR,CEFC60_HSBC_KT_L_IDR_PI_2016_IF,1,99325000,500000000,0
CEFC60_IDR,CEFC60_HSBC_KT_L_IDR_PI_2017_IF,34,4499240560,23706000000,209103491
CEFC60_IDR,CEFC60_HSBC_KT_L_IDR_PI_2018_IF,5,738882100,3502000000,0
CEFC60_IDR,CEFC60_HSBC_KT_L_IDR_PI_2019_IF,1,100816800,420000000,0
CEFC60_IDR,CEFC60_HSBC_KT_L_IDR_PI_2020_IF,2,155760000,1500000000,0
CEFC60_IDR,CEFC60_HSBC_KT_L_IDR_PI_2021_IF,1,114061500,450000000,0
CEFC60_IDR,CEFC60_HSBC_KT_L_IDR_PI_2022_IF,6,690995500,8650000000,0
