product_group;goc;pol_num;pre_ann;sum_assd;loan_sa;;
CAZCP__IDR;CAZCP__AZID_AG_H_IDR_NO_2025_Q1;15;471059000;7690000000;0;;
CAZCP__IDR;CAZCP__AZID_AG_H_IDR_NO_2025_Q2;109;3546707000;60191000000;0;;
CAZCP__IDR;CAZCP__EAGLE_AG_H_IDR_NO_2025_Q1;153;4971445000;94900500000;0;;
CAZCP__IDR;CAZCP__EAGLE_AG_H_IDR_NO_2025_Q2;861;25161917070;5,02723E+11;0;;
CAZCP__IDR;CAZCP__SPRING_AG_H_IDR_NO_2025_Q1;84;1872900000;44305832300;0;;
CAZCP__IDR;CAZCP__SPRING_AG_H_IDR_NO_2025_Q2;712;16087641706;3,51775E+11;0;;
CEALSP_IDR;CEALSP_HANA_NK_L_IDR_NO_2021_IF;14;166021800;3182000000;595000;;
CEALSP_IDR;CEALSP_HANA_NK_L_IDR_NO_2022_IF;27;383412500;5461000000;0;;
CEALSP_IDR;CEALSP_HANA_NK_L_IDR_NO_2024_IF;9;277754000;2493000000;0;;
CEALSP_IDR;CEALSP_HANA_NK_L_IDR_NO_2025_Q1;1;27400000;200000000;0;;
CEALSP_IDR;CEALSP_HANA_NK_L_IDR_NO_2025_Q2;3;155400000;2900000000;0;;
CEALSP_IDR;CEALSP_NISP_NK_L_IDR_NO_2022_IF;29;581113900;8656000000;0;;
CEALSP_IDR;CEALSP_NISP_NK_L_IDR_NO_2023_IF;44;1190443730;16228000000;0;;
CEALSP_IDR;CEALSP_NISP_NK_L_IDR_NO_2024_IF;20;1660784700;21700000000;0;;
CEALSP_IDR;CEALSP_NISP_NK_L_IDR_NO_2025_Q1;2;20280000;300000000;0;;
CEALSP_IDR;CEALSP_NISP_NK_L_IDR_NO_2025_Q2;1;52500000;500000000;0;;
CEALSP_IDR;CEALSP_VICTORIA_NK_L_IDR_NO_2022_IF;20;831526000;7656000000;0;;
CEALSP_IDR;CEALSP_VICTORIA_NK_L_IDR_NO_2023_IF;5;127545000;1836000000;0;;
CEALSP_IDR;CEALSP_VICTORIA_NK_L_IDR_NO_2025_Q2;1;175000000;1750000000;0;;
CEBEA__IDR;CEBEA__AZID_AG_L_IDR_NI_2014_IF;3357;1588071440;16764700000;12791509.93;;
CEBEA__USD;CEBEA__AZID_AG_L_USD_NI_2014_IF;32;18259.69;100100;0;;
CEBSA__IDR;CEBSA__AZID_AG_L_IDR_NI_2014_IF;9940;4298657418;40828350000;18869868.62;;
CEBSA__USD;CEBSA__AZID_AG_L_USD_NI_2014_IF;57;30236.9;185600;197.92;;
CECC___IDR;CECC___HSBC_KT_L_IDR_PI_2014_IF;16;1960305839;11036318300;314551676;;
CECC___IDR;CECC___HSBC_KT_L_IDR_PI_2015_IF;3;179517000;1200000000;55275000;;
CECC___IDR;CECC___HSBC_KT_L_IDR_PI_2016_IF;1;40482300;230000000;0;;
CECC___IDR;CECC___HSBC_KT_L_IDR_PI_2017_IF;64;9381353520;28553000000;462523001;;
CECC___IDR;CECC___HSBC_KT_L_IDR_PI_2018_IF;80;11645131430;39893000000;459931177;;
CECC___IDR;CECC___HSBC_KT_L_IDR_PI_2019_IF;40;4768933330;17977000000;531435313;;
CECC___IDR;CECC___HSBC_KT_L_IDR_PI_2020_IF;12;805578510;3753000000;0;;
CECC___IDR;CECC___HSBC_KT_L_IDR_PI_2021_IF;20;1919936400;7660000000;0;;
CECC___IDR;CECC___HSBC_KT_L_IDR_PI_2022_IF;76;8324489230;25836000000;13779720;;
CECC___IDR;CECC___HSBC_KT_L_IDR_PI_2023_IF;152;19958168628;61352226926;0;;
CECC___IDR;CECC___HSBC_KT_L_IDR_PI_2024_IF;72;7937134259;22251100000;0;;
CECC___IDR;CECC___HSBC_KT_L_IDR_PI_2025_Q1;1;129636000;300000000;0;;
CECC___IDR;CECC___HSBC_KT_L_IDR_PI_2025_Q2;3;203820984;715100000;0;;
CEECP__IDR;CEECP__AZID_AG_L_IDR_PI_2014_IF;3684;7157094869;58995200000;27206411;;
CEECP__USD;CEECP__AZID_AG_L_USD_PI_2014_IF;83;200614.5;865000;-18.28;;
CEEEP__IDR;CEEEP__AZID_AG_L_IDR_PI_2014_IF;4;6036200;270000000;0;;
CEEFP__IDR;CEEFP__AZID_AG_L_IDR_PI_2014_IF;5431;17645878869;1,22494E+11;78328495.84;;
