product_group,goc,pol_num,pre_ann,sum_assur,total_fund
UEATSB_IDR,UEATSB_AZID_AG_IDR_SH_2015_IF,23,197648000,1500000000,798462549
UEATSB_IDR,UEATSB_AZID_AG_IDR_SH_2016_IF,13,112706000,1315000000,693618831
UEATSB_IDR,UEATSB_AZID_AG_IDR_SH_2018_IF,13,87598200,843000000,307490757
UEATSB_IDR,UEATSB_AZID_AG_IDR_SH_2019_IF,6,158726400,708000000,310283852
UEATSB_IDR,UEATSB_EAGLE_AG_IDR_SH_2015_IF,4,145206000,1650000000,1248406551
UEATSB_IDR,UEATSB_EAGLE_AG_IDR_SH_2016_IF,16,158728000,1141000000,738009241
UEATSB_IDR,UEATSB_EAGLE_AG_IDR_SH_2017_IF,7,112518000,590000000,223019701
UEATSB_IDR,UEATSB_EAGLE_AG_IDR_SH_2018_IF,14,122308000,760000000,333991037
UEATSB_IDR,UEATSB_EAGLE_AG_IDR_SH_2019_IF,8,82680000,455000000,203461422
UEATSB_IDR,UEATSB_EAGLE_AG_IDR_SH_2020_IF,4,26520000,200000000,74838002
UEATSB_IDR,UEATSB_SPRING_AG_IDR_SH_2015_IF,18,152713800,1035000000,596230674
UEATSB_IDR,UEATSB_SPRING_AG_IDR_SH_2017_IF,1,5220000,50000000,34693192
UEATSB_IDR,UEATSB_SPRING_AG_IDR_SH_2018_IF,1,15014400,68000000,27890137
UEATSB_IDR,UEATSB_SPRING_AG_IDR_SH_2019_IF,1,22800000,100000000,41790101
UEATSBA_IDR,UEATSBA_AZID_AG_IDR_SH_2020_IF,2,80592000,365000000,277628227
UEATSBA_IDR,UEATSBA_AZID_AG_IDR_SH_2021_IF,3,43542000,255000000,95669031
UEATSBA_IDR,UEATSBA_AZID_AG_IDR_SH_2022_IF,6,71798400,522000000,89250715
UEATSBA_IDR,UEATSBA_AZID_AG_IDR_SH_2023_IF,15,404191200,2888000000,270200416
UEATSBA_IDR,UEATSBA_AZID_AG_IDR_SH_2024_IF,76,1986088600,12120000000,401750089
