PRODUCT_CODE;CURRENCY1;POLICY_REF_Count;pre_ann_Sum;sum_assd_Sum
CCBPC3;IDR;138349;0;13530758517321
CCBKP_;IDR;78;3108228863.6402;17786941146
CCWSR_;IDR;2313;17292368504.6;129649639000
CCBKR_;IDR;125;2643688411;12735626656
CCWSA_;IDR;7064;35400817472.600401;1430385446251
CCBPCN;IDR;126745;1365749213133.78385;8209689263238
CCPBMT;IDR;44261;250743189660.25;2477152385050
CCBKA_;IDR;87;116978450;11666000000
CCMTPC;IDR;4;35582080;358000000
CCMBSI;IDR;10;20836020;1103000000
CCPBSI;IDR;187;4981517382.5248428131615338366;20385500000
CCMTA_;IDR;8;28056000;2666000000
BASE_ESP;IDR;10865;16842154769;141294900000
BASE_AZLGC;IDR;21723;956427028852.7580755794676584;43814571248820
BASE_MJG1;IDR;12629;32170200000;1340425000000
BASE_MPSPL;IDR;10772;41097600000;1335870000000
BASE_GPINS;IDR;331;64720000000;96864200000
RID_PB77;IDR;1666;1819897334.04;32074855358
BASE_GLGC;IDR;971;43417478982.327647663247;1778907180325
BASE_HIPP;IDR;988;122187000000;122187000000
BASE_HPRLA;IDR;611;233126304824;2631451900000
BASE_MLGC;IDR;2827;126244506400.069001255251;5259612852564
BASE_ALGCP;IDR;568;28564464894.755117487812;1204077020001
BASE_ALGCP;USD;73;624147.96;16627500
BASE_MLGC;USD;132;1365256.23;30525820
BASE_AZLGC;USD;288;3570837.97;103238830
BASE_EXP;IDR;2408;5885537599;330553600000
RID_PB77A3;IDR;138;73019096;552592266
BASE_MPINS;USD;410;7739717;10209145
BASE_HPINS;USD;155;3447950;4571777
BASE_SX;IDR;1390;3772343654;158857200000
BASE_MPINS;IDR;383;93700000000;144207000000
BASE_EFP;IDR;5436;17451001969;121961300000
BASE_MJS1;IDR;11;16200000;1350000000
BASE_MYF50;USD;5;52112.75;145000
BASE_APINS;IDR;44;12400000000;19073100000
BASE_HPINS;IDR;120;34570000000;50452900000
BASE_EWP;IDR;272;676596489;23574000000
BASE_ECP;IDR;3682;7151513119;59142200000
BASE_MJG2;IDR;944;2760600000;115025000000
BASE_GPINS;USD;66;1400500;1840165
BASE_AZPST;IDR;2976;78589778620;1326353587394
BASE_EFP;USD;221;580760.56;2805120
BASE_EZPL;IDR;3169;5568600000;185355000000
BASE_GLGC;USD;25;144671;3884020
BASE_HPLA;IDR;9;278930000;56000000000
BASE_MYPRO;IDR;1196;3742658337;105503071873
BASE_EUP;IDR;2736;8466689687;46944200000
BASE_CLLGC;IDR;557;69290135346;226435645226
BASE_FR55;IDR;530;2701797335;21524500000
BASE_EZPLD;IDR;31;93200000;3487500000
BASE_MYPRO;USD;19;46671.8;717000
BASE_JLIFE;IDR;4;30000000;2068000000
BASE_ESP;USD;117;138926.24;789800
BASE_APINS;USD;20;756000;1011060
BASE_MYF50;IDR;192;1403592494;10422100000
BASE_MYFUT;IDR;36;12413472950;147760000000
BASE_EXP;USD;151;208360.24;4519400
BASE_SX;USD;53;102566.26;1559500
BASE_PSX;IDR;46;100883624;4299000000
BASE_EUP;USD;96;209310.34;782800
BASE_SF;IDR;425;1697797769;12574700000
BASE_MYEDU;IDR;1082;5196368965.91;28367660886
BASE_MYF60;IDR;36;239277223;1190212855
