PRODUCT_CODE;PR_CURR;POLICY_NO_Count;pre_ann_Sum;PR_SA_Sum;total_fund_Sum
BASE_AALM;IDR;61;3160000000;4740000000;9829611142.033826
BASE_AALM;USD;50;255000;382500;756914.10087835209684
BASE_AAOP;IDR;193;11020000000;22040000000;63349488529.609022
BASE_AAOP;USD;74;1368000;2736000;5252373.61388633
BASE_ANSSP;IDR;89;6123000000;56165000000;14121211655.339886
BASE_ARPL;IDR;239;12555299996;219120000000;15373032777.8586
BASE_ASAMN;IDR;1115;27250764615;393808574317;5389828288.032188
BASE_ASBA;IDR;402;657168000;21661800000;4434482120.934151
BASE_ASFA;IDR;14;2625000000;5250000000;874698206.611524
BASE_ASI;IDR;63;2258000000;3756000000;1867319167.324681
BASE_ASLSS;IDR;85;463800000;13997000000;1926216798.564486
BASE_ASMAP;IDR;7;224000000;344500000;88506433.90681
BASE_ASMFP;IDR;173;7915716045;13339288807;4377208408.74391
BASE_ASP;IDR;61;376359996;11617000000;1730062528.690416
BASE_ASPLF;IDR;33562;594014540428;8517222318239;86513112652.315676
BASE_ASPOA;IDR;33634;373901723496.3744934;11521900083000;634492693772.081157
BASE_ASRKP;IDR;8;14400000;393000000;213627306.062053
BASE_ATSBH;IDR;1975;51395012680;321182000000;25680120888.311799
BASE_AWPF;IDR;42;2024500004;30315000000;4379222854.174653
BASE_AWPF;USD;2;5000;25000;16359.14285856
BASE_AWPL;IDR;54;9041000004;338500000000;19632887048.895246
BASE_AWPL;USD;57;1029000;23636000;2702602.7701941
BASE_AWPL2;IDR;46;7341999996;250046735522;9847813574.011645
BASE_AWPL2;USD;25;426400;9926000;603805.40763355
BASE_AWPR;IDR;130;6824999996;112025000000;98433619457.231152
BASE_AWPR;USD;15;68000;1187500;172737.5844235
BASE_AWSL;IDR;1;80000000;2000000000;44204238.269769
BASE_AWSL;USD;1;19250;481250;9885.08397456
BASE_BJPMC;IDR;12;650000000;975000000;7831206333.689013
BASE_BJPMC;USD;47;235000;352500;1781110.39177972
BASE_BJPOC;IDR;62;641000000;39273000000;1105454324.076712
BASE_CPRA;IDR;2;150000000;1000000000;20472185.957391
BASE_DMSA;IDR;743;2926355972;134000900000;21533274313.281313
BASE_DRKFS;IDR;3628;23069599979.999999999996;710550000000;167431753954.578217
BASE_DRKFS;USD;71;115715;1808150;887417.9761128
BASE_DRKPS;IDR;1;15000000;300000000;56795458.125847
BASE_DRKU;IDR;9;49300000;1950000000;327196936.648865
BASE_DRKUA;IDR;518;4347539996;128687000000;31043163338.79099
BASE_DRKUA;USD;1;1250;20000;5285.0109048
BASE_FIVS;IDR;60;3000000000;4500000000;17628444746.638473
BASE_FIVS;USD;77;396500;594750;1480626.434030833998
BASE_FLFS;IDR;154;6759000000;111830000000;20318528086.643913
BASE_FLFS;USD;49;167000;1468000;688297.86493751377332
BASE_GI1B;IDR;231;3675000000;4593750000;22003150421.405711
BASE_GSL;IDR;142;9279000000;296491647585;30905579034.852061
BASE_GSL;USD;41;257600;7194743.75;775867.00660642
BASE_GUMA;IDR;65;4515000000;143275000000;15858910441.914556
BASE_GUMA;USD;13;92700;2380000;221193.73183159
BASE_GUOP;IDR;612;34067000000;68134000000;203179983719.060894
BASE_GUOP;USD;41;740000;1480000;1757851.9082123
BASE_GUPM;IDR;635;38003700012;359910500000;79629965391.879579
BASE_GUPM;USD;58;404000;3192000;872572.8996157
BASE_GUPR;IDR;2920;121149862068;2050262250000;317760367353.194143
BASE_GUREN;IDR;163;7416195489;71046500000;2939038095.964425
BASE_GUSI;IDR;173;29249999996;1067293211378;85611355539.874871
BASE_GUSI;USD;85;1222000;34803060;3876878.92205101254684
BASE_GUTI;IDR;40;6833000000;227010000000;19096087727.308809
BASE_GUTI;USD;7;88000;2840000;76795.86629483
BASE_GWL;IDR;913;47278666667;70615500000;322129993797.915539
BASE_GWL;USD;275;1909000;2825750;5055284.79453476
BASE_HCIPA;IDR;200;2542900012;74763000000;7002930225.071619
BASE_HPIP;IDR;1171;90208186690;1036951666666;164346074465.201838
BASE_HPIP;USD;789;5735172;63011540;12219614.22563196
BASE_HPPA;IDR;32;986000000;5105000000;9326870883.986307
BASE_HPPA;USD;44;119900;2200000;1035949.88061497
BASE_HPWA;IDR;608;104087049244;3556325267142;282701385459.465963
BASE_HPWA;USD;536;8677480;246986915.488;29252533.92000438197208
BASE_HSCIP;IDR;2459;152437239800;2422585100000;487960378196.878313
BASE_HSCIP;USD;2199;13039430;160683100;63129856.19358157900252
BASE_HSWA;IDR;150;29329999988;882080000000;44979220268.338106
BASE_HSWA;USD;105;1971016;47710000;3317615.21724855
BASE_HTK_G;IDR;7;860000000;1075000000;884190273.130392
BASE_HTK_P;IDR;3;1200000000;1500000000;81687683.372245
BASE_HTK_S;IDR;6;200000000;250000000;272297684.919824
BASE_HUWA;IDR;176;9700000000;19400000000;84710349763.652669
BASE_HUWA;USD;958;4929000;20680000;41289736.75879184
BASE_MARLK;IDR;292;3524500000;139944000000;8603716582.764886
BASE_MPIN2;IDR;74;13890000000;460688305012;26800339815.436871
BASE_MPIN2;USD;13;206000;5160000;379594.24535878
BASE_MPINF;IDR;520;86246999996;3049565320061.2;279873162631.685329
BASE_MPINF;USD;269;4484358;111968334.558;17268045.06969848448212
BASE_MSMPB;IDR;1825;84513149936;956756250000;247611244560.202679
BASE_MSPB2;IDR;994;59069355004;460078274980;103522911763.404903
BASE_MYMP2;IDR;1095;56241204968;616816789658;149701823349.108882
BASE_MYMP2;USD;75;419096;3710500;1461915.65247695
BASE_MYMPP;IDR;4265;192416028664;2960407000020;636261785303.787566
BASE_MYMPP;USD;641;2783880;20367000;10994125.69856168959084
BASE_MYMPS;IDR;1556;14901432928;961019165000;19545790319.092578
BASE_MYPI;IDR;1038;17357850000;26036775000;230539301433.709782
BASE_MYPI;USD;609;922500;1383750;10410186.8296989476814
BASE_MYPI2;IDR;499;26702000000;53404000000;257480166691.687056
BASE_MYPI2;USD;292;5286000;10572000;17335954.47177726
BASE_MYREN;IDR;2246;85480971455;813790230000;35063504837.305672
BASE_MYSU;IDR;202;14987400000;475200000000;39590969644.666872
BASE_MYSU;USD;40;304900;7852999.82;1242375.47382279
BASE_MYSU2;IDR;47;3425115000;107127500000;4289439005.239581
BASE_MYSU2;USD;17;123497;3327525;159782.36608819
BASE_MYWAR;IDR;94;3634130451;29161392193;423702712.009486
BASE_NASPP;IDR;52248;872885262339.753458348;13303574343872.999999963;282209916916.248602
BASE_NHM1;IDR;303;3030000000;4545000000;10401027770.548821
BASE_NHM2;IDR;104;1040000000;1560000000;12075517333.267409
BASE_NHM3;IDR;61;610000000;915000000;21104278485.649529
BASE_NSFAP;IDR;202649;3709289091386.1666180384576;49346112724550.999999853;1311058529563.791521
BASE_OPCI;IDR;381;4902000000;7353000000;99115528642.655091
BASE_OPCI;USD;888;1140097;1710145.5;26334698.55652656750748
BASE_RAPOA;IDR;1166;16083342400;465220900000;17156555398.859042
BASE_RASP;IDR;2412;11792067792;455556100000;50038060421.545669
BASE_RASPP;IDR;5047;91012356553.09791284;1772975879559;75201186956.06858
BASE_RLNFA;IDR;12492;69232172925.84;2695444976000;421046506544.423194
BASE_RLNFA;USD;229;709733;20157520;4036401.1398084
BASE_RLPPN;IDR;121;614000004;18504000000;5075761187.493358
BASE_RLSSP;IDR;47;1900000000;17900000000;6851493653.961264
BASE_RSLBA;IDR;815;1692235560;44103500001;12580796116.315161
BASE_RSLPP;IDR;122;2761308004;69415000000;10402212285.446753
BASE_RSLPP;USD;13;32750;665000;156143.18049
BASE_RSLPS;IDR;176;11879200012;85565000000;23542689923.203459
BASE_RSLSS;IDR;2100;10942799984;314414200040;95950486638.532604
BASE_RSLSS;USD;14;13650;462000;210324.1334568
BASE_RSPOA;IDR;38861;749661021937.746396848;14867187146017;675536132111.69766
BASE_SCFT;IDR;22;88300000;5075000000;413385171.193835
BASE_SG;USD;43;9162252.64;20180000;11330070.6871
BASE_SHCP;IDR;123;1001199996;36435000000;2959131276.193776
BASE_SHFC;IDR;7;425000000;4250000000;599140978.992325
BASE_SHFC;USD;3;7500;210000;13198.71757230893916
BASE_SHRE;IDR;4;225000000;1950000000;619161755.423327
BASE_SHSNW;IDR;2268;153644591097;2056968000001;335424024204.967693
BASE_SHSNW;USD;195;1681000;19581125;4428077.67948423845576
BASE_SLBA;IDR;145;296100000;10966500000;4325659368.193277
BASE_SLDIP;USD;3;225000;450000;65829.029178
BASE_SLEXP;IDR;63;339700000;20073000000;2479949930.6094
BASE_SLFA;IDR;1194;6690693572;147250093700;44884387200.34906
BASE_SLFS;IDR;88;1726999996;41348500000;5503152635.543262
BASE_SLFS;USD;5;17500;180500;31946.8783392
BASE_SLMA;IDR;543;25966183030;39172884023;24385776401.903591
BASE_SLMA;USD;66;526900;695325;644416.494744
BASE_SLMAP;IDR;82;4590300000;7430875000;7652757929.007576
BASE_SLMAP;USD;16;167650;227925;413080.9480116
BASE_SLME;IDR;7;22000000;550000000;310278276.867402
BASE_SLMFP;IDR;218;11060951652;20515050000;10621929059.35362
BASE_SLMFP;USD;39;639500;1153750;708717.6736332
BASE_SLML;IDR;71;274000000;9160000000;3415683023.809613
BASE_SLMP1;IDR;159;2445000000;3056250000;26366765581.044197
BASE_SLMP2;IDR;4;500000000;625000000;577093355.836518
BASE_SLNF2;IDR;2599;14185347591.997999999996;593306500000;109550361788.870561
BASE_SLNF2;USD;28;53761;1038500;657180.2038296
BASE_SLNFA;IDR;4511;23186589441.918400000004;743215350000;182639947425.905376
BASE_SLNFA;USD;62;133450;2185500;1040046.484422
BASE_SLP;USD;9;998028.75;2825000;1144566.4543
BASE_SLPLF;IDR;75001;1442471730688;18745045268012;183078181253.160756
BASE_SLPN1;IDR;42;42240000;1056000000;913848887.64156
BASE_SLPN2;IDR;16;14640000;366000000;906301443.829131
BASE_SLPOA;IDR;179215;2017455250334.580199972;64693412580494;3978605812375.586218
BASE_SLPP;IDR;315;4977100003.9992;109805000000;24909999391.652447
BASE_SLPP;USD;23;69700;903500;163479.7542576
BASE_SLPPN;IDR;67;356600000;9660000000;4367269119.686494
BASE_SLPS;IDR;253;7005749996;80633500000;22388190725.006343
BASE_SLSA;IDR;78;885112008.08;39300000000;5603125885.478964
BASE_SLSA2;IDR;869;6452571992;339859650000;18327749405.462125
BASE_SLSS;IDR;176;761559996;24321000000;7873781299.299619
BASE_SLSS;USD;3;2700;45000;34586.6005584
BASE_SLSSP;IDR;103;4521000000;37075000000;12640180767.952671
BASE_SLUS;IDR;1483;70548872680;993764999999;121781478355.302579
BASE_SLVM1;IDR;16;320000000;900000000;771251275.918297
BASE_SLVM2;IDR;16;320000000;1450000000;1533572696.129728
BASE_SLVM3;IDR;7;140000000;500000000;1860261009.75623
BASE_SLVP;IDR;165;11889999996;146175000000;25952044100.734143
BASE_SMP1B;IDR;50;1000000000;1250000000;5932405166.901332
BASE_SMP2B;IDR;18;360000000;450000000;3436947016.964534
BASE_SMP3B;IDR;13;260000000;325000000;3155866812.737237
BASE_SMPV;IDR;3;18000000;550000000;92473566.682711
BASE_UML;IDR;3;600000000;750000000;1000037145.024217
ULGALLOC;IDR;4598;27921572487.1656;13726000000;104343925307.5162363288
ULGALLOC;USD;7;33273;2450;21741.493772227566
ULSPOOL;IDR;84;3181003587.6401166093013079869;411000000;4944587180.1998392760863498308
